rank,movie_title,movie_year,normalized_title,scene_name,normalized_scene_id,timestamp,score,mentions,num_sources,description
11,Mad Max: Fury Road,2015,mad-max-fury-road,The sandstorm chase,mad-max-fury-road--cyclone-storm,00:26:00,21.487,9,8,"Convoy races into a massive sand-and-lightning cyclone that whistles and roars around the room; a vehicle gets swept into a vortex, spins around the room and is thrown over the listener's head into the back wall. Scene ends as Max is thrown from his vehicle and blacks out."
12,Blade Runner 2049,2017,blade-runner-2049,Opening Scene,blade-runner-2049--opening-scene,00:00:00,21.404,8,8,"Heights engage from the very start. The score wraps around the listener and ties into the spacecraft flight, fully immersing you in the sci-fi world."
13,Mission Impossible: Fallout,2018,mission-impossible-fallout,Helicopter Chase,mission-impossible-fallout--helicopter-chase,01:53:30,21.389,7,7,"Cruise hangs from the swing-load under the H125 helicopter, thunderous blade slap through the heights; Cavill's machine gun blasts from the LF as bullets whip past in the surrounds; a dramatic end with warning alarms and both helicopters coming down."
14,Top Gun: Maverick,2022,top-gun-maverick,Darkstar Mach 10 run,top-gun-maverick--opening-flight,00:05:43,20.827,8,7,"Mach 10 test flight: subtle tension build during prep (treadmill, gear), then jet engines fire with a rumble, roof of the shack blows off, quiet/muted in-cockpit audio, climax with the faint distant explosion."
15,Bohemian Rhapsody,2018,bohemian-rhapsody,Live Aid,bohemian-rhapsody--live-aid,01:55:10,20.381,6,6,Chapter 8/9 (Extras: Complete Live Aid performance). Freddie sits at the piano for the second half of 'We Are The Champions'; the crowd joins louder with each verse until a cathartic wave rolls through stadium and cinema alike.
16,1917,2019,1917,Flares burning overhead,1917--night-fire-run,01:07:00,18.994,8,6,"Burning town: collapsing structures, distant footsteps and ricochets land in their own spaces; fire crackles overhead with walls closing in."
17,1917,2019,1917,Biplane and barn sequence,1917--no-mans-land-flyover,00:42:25,18.450,7,6,"When they first go into no-man's-land: five minutes of very quiet build-up while the soldiers try to stay silent, then planes slowly get louder and louder and fly right overhead."
18,Kong: Skull Island,2017,kong-skull-island,Opening dog-fight,kong-skull-island--opening-flyover,00:00:00,17.078,6,6,"The film's opening seconds: planes flying and fighting overhead, helicopters swirling, PA announcements and master-caution alarms. The overhead flyover that Atmos owners love."
19,The Matrix,1999,the-matrix,Lobby shootout,the-matrix--lobby-shootout,01:41:05,16.898,5,5,"The lobby shootout from the 4K Atmos remaster: Trinity's wall-run flip with great height movement, the elevator explosion with slow-motion fire, and sprinklers bursting on over the Agents."
20,Midway,2019,midway-2019,Attack on Pearl Harbor,midway-2019--uss-arizona-breakup,01:15:48,16.843,6,6,"Pearl Harbor attack: vintage fighter planes overhead and through the surrounds, bombs falling on ships and igniting fires with deep rumble, gunshot ricochets, and exceptionally heavy bass throughout."
21,Civil War,2024,civil-war,"Battle for Washington, D.C.",civil-war--battle-for-washington-dc,,16.441,6,4,"Chapters 12-13: the end-of-movie battle, with explosions and gunfire shifting overhead and whipping around the room and bullets whizzing past with precise placement. Among the best Atmos audio of 2024."
22,Kong: Skull Island,2017,kong-skull-island,Kong's first appearance,kong-skull-island--first-helicopter-encounter,00:27:00,16.330,6,6,"Kong's first appearance, when he hits the helicopter and the back rotor starts spinning around all the speakers."
23,Deepwater Horizon,2016,deepwater-horizon,Explosion and aftermath,deepwater-horizon--explosions-and-aftermath,01:02:39,16.179,5,5,"Around the 50-min mark: eruption of liquid mud triggers a blowout with splattering sounds through every speaker, then ignition causes a massive explosion with ricocheting rivets, groaning girders and ferocious fires saturating the soundscape."
24,1917,2019,1917,Desperate Sprint,1917--desperate-sprint,01:30:00,14.876,6,6,"Famous one-shot sprint across the battlefield: grenades explode around the listener, bullets whistle overhead, soldiers shout from different directions."
25,Ready Player One,2018,ready-player-one,Final battle sequence,ready-player-one--end-battle,01:48:00,14.817,5,5,"End battle set to 80s music; just before it, a rocket shoots up and blows up the force field, crackle and explosion directly overhead. Less famous than the race but a strong demo moment."
26,Star Wars: Episode I — The Phantom Menace,1999,star-wars-the-phantom-menace,Pod race,star-wars-the-phantom-menace--podrace,00:59:50,14.311,7,6,"The podrace sequence, with podracer engines given particularly careful attention in the sound mix."
27,Star Wars: Episode VII — The Force Awakens,2015,star-wars-the-force-awakens,Jakku Falcon escape,star-wars-the-force-awakens--jakku-falcon-escape,00:29:50,14.005,5,4,"Rey, Finn and BB-8 run toward the Millennium Falcon with TIE fighters flying directly overhead and precisely localized, then it continues inside the Falcon with TIE fighters all around plus deep bass."
28,Blade Runner 2049,2017,blade-runner-2049,Final scene — flooding spinner,blade-runner-2049--final-scene-flooding-spinner,02:18:40,13.482,4,4,"Dramatic Zimmer/Wallfisch score pulsates as cars travel through the soundscape; K blasts them from the air, they crash into the water; waves crash over the vehicle and into the overheads as it submerges and the fight ensues."
29,Roma,2018,roma,The Rescue,roma--the-rescue,02:00:00,13.397,5,5,"Toward the end of the film, the rescue of children from the sea is impressive both technically and sonically, benefiting strongly from Atmos's 3D character."
30,Mad Max: Fury Road,2015,mad-max-fury-road,Coma-Doof Warrior chase,mad-max-fury-road--war-party,00:16:00,13.024,5,5,"Convoy of cars and trucks tearing across the desert: solid bass for engines, beating drums and the flame-thrower guitar through surrounds and heights, war boys' cheers and chants; vehicles collide with the buzzards with fire/explosions and circular-saw razor sounds."
31,Spider-Man: Far From Home,2019,spider-man-far-from-home,Mysterio in the shadows,spider-man-far-from-home--mysterio-illusion,01:17:40,12.658,5,5,"Mysterio traps Spider-Man in a virtual world: Mysterio's voice travels all around, Spider-Man punches columns thinking they're Mysterio with structural collapse sounds, voices shift based on POV."
32,Avengers: Endgame,2019,avengers-endgame,Cap with Mjolnir vs Thanos,avengers-endgame--final-battle,02:12:50,11.233,5,5,"Thor suits up just before the big battle. Lightning cracks as he summons his weapons, with a full surround effect."
33,Blade Runner 2049,2017,blade-runner-2049,Walking through the Vegas ruins,blade-runner-2049--vegas-walk,02:16:00,10.466,6,5,"K approaches the abandoned casino: distant echoes and environmental hums layer over a sense of a forgotten city; soft whine of old holograms drifts through the room, tiny mechanical sounds ping from above."
34,Edge of Tomorrow,2014,edge-of-tomorrow,Air drop / beach battle,edge-of-tomorrow--the-beach,00:16:24,9.560,5,5,Rockets flying all around makes you feel like you're right in the middle of everything.
35,Sinners,2025,sinners,'I Lied to You' song,sinners--united-by-song,00:54:20,8.015,3,3,"Sammy summons spirits past, present and future; ethereal vocals soar and the camera swoops around dancing souls in the juke joint."
36,Hacksaw Ridge,2016,hacksaw-ridge,Navy Cannon & Ridge Battle,hacksaw-ridge--naval-bombardment,01:08:30,7.724,3,3,"The naval bombardment that opens the ridge assault, with destroyer guns pounding the Japanese positions before the infantry attack."
37,Master and Commander: The Far Side of the World,2003,master-and-commander-the-far-side-of-the-world,The first skirmish,master-and-commander-the-far-side-of-the-world--first-skirmish,00:08:00,7.682,3,3,"First encounter between HMS Surprise and Acheron: 18-pounders boom from distant fog, rounds splinter and shatter the Surprise's deck."
38,Blade Runner 2049,2017,blade-runner-2049,Flight to the Orphanage,blade-runner-2049--flight-to-the-orphanage,00:58:00,7.208,3,3,"K and Joi fly through a storm: rain on wipers, distant thunder, bullets streaking the room, then near-silence as lightning cuts the power."
39,The Tomorrow War,2021,the-tomorrow-war,Time Jumping to 2051,the-tomorrow-war--time-jumping-to-2051,00:32:25,7.121,3,3,From the 32:25 mark: quiet hangar chat snaps into a siren-blaring time-jump portal that fills the ceiling with roaring audio.
40,Everest,2015,everest-2015,Wind blows around the tents,everest-2015--the-storm,01:15:30,7.121,3,3,The storm hits with relentless use of the surrounds and overheads; individual ice and wind elements swirl distinctly around and above for a chilling sense of being trapped on the mountain.
41,Ford v Ferrari,2019,ford-v-ferrari,Car show plane fly-over,ford-v-ferrari--car-show-plane-overhead,00:44:23,7.118,3,3,"A plane flies directly overhead during the car show: a clean, striking workout for the height channels."
42,Jurassic Park,1993,jurassic-park,T-Rex introduction scene,jurassic-park--t-rex-breakout-rain,01:03:01,6.915,3,3,T. rex breaks out of its cage in the rain.
43,Midway,2019,midway-2019,Bombing the Japanese Fleet,midway-2019--bombing-the-japanese-fleet,01:05:20,6.821,3,3,Americans bomb Japanese ships; retaliatory big-gun thumps and whizzing bullets surround the cockpit from every angle.
44,Angel Has Fallen,2019,angel-has-fallen,The Assassination Attempt,angel-has-fallen--drone-attack,00:19:34,6.733,2,2,Swarming drones whizz overhead while the President and an agent plunge underwater to evade a drone bomb. The surrounds simulate the pressure and the explosion above is precisely placed.
45,The Power of the Dog,2021,the-power-of-the-dog,The Duelling Banjo,the-power-of-the-dog--the-duelling-banjo,00:47:00,6.733,2,2,"Rose plays piano downstairs while Phil mockingly plays banjo from the rear ceiling, his roaming spurs filling the overheads before his boots shock her."
46,6 Underground,2019,6-underground,First car chase scene,6-underground--opening-chase,00:05:20,6.466,3,3,"The film's long opening car chase: a frenetic, gunfire-filled pursuit through the streets of Florence."
47,Soul,2020,soul,The Great Before vs New York,soul--the-great-before-vs-new-york,00:11:35,6.395,2,2,Two contrasting sonic worlds: ethereal springy reverb of the great before vs the tactile pile-driver-and-jazz cacophony of autumnal New York.
48,Star Trek Into Darkness,2013,star-trek-into-darkness,Opening — planet with exploding volcano,star-trek-into-darkness--opening-sequence,00:00:00,6.125,3,3,"Opening: Kirk and McCoy chased through the forest by natives (sides for trees, spears in sides/surrounds), then Spock dropped into an erupting volcano, then USS Enterprise rises out of the water."
49,Incredibles 2,2018,incredibles-2,Jack-Jack enters another dimension,incredibles-2--jack-jack-dimension,01:05:30,5.879,3,3,"Jack-Jack first enters another dimension: a giggling baby crawls around the ceiling from speaker to speaker, very specific sound placement that isn't lost in the chaos."
50,1917,2019,1917,Bunker collapse,1917--mine-shaft-collapsing,00:27:50,5.808,3,3,Mine shaft starts collapsing on the two main characters after the big explosion the rat caused by running through the trip wire.
51,Gravity,2013,gravity,ISS Fire,gravity--fire,00:43:00,5.659,3,3,"Stone enters the ISS: sub channel beats a heartbeat pulse, breathing and small debris sounds inside the cluttered cabin; alarms blare through overhead speakers when fire breaks out until she hits her head and all audio ceases."
52,Oblivion,2013,oblivion-2013,Helicopter and drone chase,oblivion-2013--pod-chase,01:12:10,5.289,2,2,"The bubbleship pursuit, with pronounced height sounds: rain, lightning, water and flight through rugged terrain."
53,Ford v Ferrari,2019,ford-v-ferrari,7000+ Go Like Hell,ford-v-ferrari--7000-go-like-hell,01:33:16,5.173,2,2,A Le Mans race moment. Engine roars and explosions build a thumping soundtrack that makes you feel like you're driving the race yourself.
54,Ford v Ferrari,2019,ford-v-ferrari,Alone Time with Henry Ford II,ford-v-ferrari--alone-time-with-henry-ford-ii,01:24:20,5.173,2,2,"Shifts from subtle ambient track sounds (planes, distant mechanics) to the violent mechanical roar of the GT40, balancing Ford II's terrified screams against high-SPL engine noise."
55,Overlord,2018,overlord-2018,Falling from the plane,overlord-2018--plane-opening,00:00:00,4.836,4,3,From the get-go: nervous soldiers on a plane rattle through the air; right in the middle of every bullet and explosion.
56,Prey,2022,prey-2022,Axe strikes,prey-2022--axe-strikes,00:32:40,4.793,2,2,"Axe strikes ring out across the soundstage, each impact landing distinctly in the front and rear surround channels."
57,Roma,2018,roma,Trees burning in the field,roma--burning-fire-scene,01:03:25,4.793,2,2,"Trees burn in the field, the crackle of fire placed convincingly overhead in the height channels."
58,Nope,2022,nope,"Rain, objects falling, UFO",nope--rain-and-ufo-scene,01:14:41,4.728,2,2,"Pouring rain through heights/surrounds, looming UFO presence as the area loses power; eerie screams move from rear surrounds to heights as the UFO engulfs the soundstage; debris descends on the house, then outside with Daniel Kaluuya in the car for rain, thunder and haunting rumbles."
59,Fury,2014,fury-2014,First major battle scene,fury-2014--first-major-battle,00:30:00,4.649,2,2,"Around 30 min: tanks drive off the road and onto the battlefield with low-end rumble and chatter in surrounds; eruption of machine-gun fire with metallic ricochet clanging, machine gunner blasts from heights, main tank gun booms, enemy anti-tank rounds whistle, all under Steven Price's score."
60,F1: The Movie,2025,f1-the-movie,24 Hours of Daytona,f1-the-movie--24-hours-of-daytona,00:03:00,4.545,2,2,"Around the 3-minute mark, set to Led Zeppelin's 'Whole Lotta Love': cars scream past through surrounds, radio chatter crackles, fireworks explode overhead in the height channels."
61,300,2006,300,Arrow Volley Scene,300--arrow-volley-scene,00:38:00,4.472,2,2,"Spartans shield themselves from arrows from above: arrows whistle through the air and land in side/rear surrounds, then pound on shields activating overhead channels."
62,Avatar: The Way of Water,2022,avatar-the-way-of-water,Underwater scenes,avatar-the-way-of-water--underwater-scenes,01:00:00,4.376,2,2,"Multiple Pandora-underwater scenes from ~1h onward: whale songs float through the room, air bubbles rise audibly, ocean currents envelop the listener."
63,John Wick: Chapter 2,2017,john-wick-chapter-2,Catacombs fight,john-wick-chapter-2--catacombs-assassination,00:53:14,4.317,2,2,"A silent leadup to the assassination shot, then a jarring gunshot impact kicks off the action through a techno-thumping nightclub and into the catacombs chase, with multiple gun signatures (machine guns, shotguns) all around."
64,Sonic the Hedgehog 2,2022,sonic-the-hedgehog-2,Robot finale,sonic-the-hedgehog-2--robot-finale,01:39:30,4.297,2,2,"The villain's giant robot at the end: the cloning villain laughs and screams while bouncing all around the room, then a huge explosion when the robot falls. Strong room-bouncing localization plus heavy bass."
65,13 Hours: The Secret Soldiers of Benghazi,2016,13-hours,Embassy Attack,13-hours--embassy-attack,01:44:00,4.180,3,3,"The attack on the compound, building to a bus blown up with heavy ordnance; bullets fly right past the head."
66,Spider-Man 2,2004,spider-man-2-2004,Reactor going haywire,spider-man-2-2004--doc-ock-fusion-reactor,00:35:00,4.155,2,2,"An excellent all-around sound bubble as Doc Ock shows off his arms and fires up the fusion reactor, the lasers firing with a percussive thump."
67,A Star Is Born,2018,a-star-is-born-2018,Shallow performance,a-star-is-born-2018--shallow-performance,00:38:00,4.107,2,2,Vocals and dynamics. Not a bass demo but a showcase for natural vocal reproduction on a well-balanced system.
68,Gran Turismo,2023,gran-turismo,GT Academy Race,gran-turismo--gt-academy-race,00:47:20,4.009,2,2,"A race with roaring engines, peeling tires and cornering detail; when cars hit the rumble strips beside the track you hear the tire tone shift, plus dirt and gravel flying across the soundfield."
69,Tron: Legacy,2010,tron-legacy,Light cycle scene,tron-legacy--bike-race,00:41:00,3.911,3,3,"The light-cycle arena battle: crisp, geometric sound design set to Daft Punk's score, with a very powerful, room-shaking low end."
70,Godzilla: King of the Monsters,2019,godzilla-king-of-the-monsters,Rodan's attack on Isla de Mara,godzilla-king-of-the-monsters--rodan-chasing-jets,00:54:15,3.870,2,2,Rodan chasing the fighter jets and meeting Monster Zero.
71,All Quiet on the Western Front,2022,all-quiet-on-the-western-front-2022,First few minutes in the war,all-quiet-on-the-western-front-2022--beginning-battle-bomb-and-rubble,,3.718,2,2,"The opening battle, when a bomb blows up next to a running soldier and you hear the rubble rain down above you."
72,Mission Impossible: Fallout,2018,mission-impossible-fallout,Police bike chase,mission-impossible-fallout--police-bike-chase,,3.628,3,3,Motorcycles weave with clean left-to-right motion; police sirens ricochet between buildings with metallic sharpness; engines rev and shift directions with pinpoint accuracy.
73,The Lord of the Rings: The Two Towers,2002,the-lord-of-the-rings-the-two-towers,Battle of Helm's Deep,the-lord-of-the-rings-the-two-towers--battle-of-helms-deep,,3.627,2,2,"The Battle of Helm's Deep, the night siege of the fortress, with the remastered mix driving rain, Uruk-hai roars and the wall breach through every channel."
74,Star Trek Into Darkness,2013,star-trek-into-darkness,Klingons before Khan shows up,star-trek-into-darkness--klingons-before-khan,,3.530,2,2,The protagonists are almost captured by Klingons just before Khan shows up; top-tier sound and image.
75,Blade Runner 2049,2017,blade-runner-2049,The Bee Scene,blade-runner-2049--bee-scene,01:41:54,3.459,2,2,"Chapter 14/22. Officer K investigates a beehive, a quiet scene save for one dramatic bass note. The immersive Atmos mix is famous for making demo audiences swat at the air around them."
76,The Hobbit: An Unexpected Journey,2012,the-hobbit-an-unexpected-journey,Goblin tunnel chase area,the-hobbit-an-unexpected-journey--goblin-tunnel-chase,01:54:22,3.386,2,1,"The goblin-tunnel chase, with thunderous bass and strong height effects as the rickety walkways collapse."
77,Wolf Man,2025,wolf-man-2025,Opening scene,wolf-man-2025--universal-logo-opening,00:00:00,3.359,2,2,"From the Universal Studios logo onward, the opening builds an enveloping, immersive Atmos atmosphere."
78,Godzilla: King of the Monsters,2019,godzilla-king-of-the-monsters,Awakening of King Ghidorah,godzilla-king-of-the-monsters--fight-at-41min,00:41:00,3.309,2,2,"Aircraft flight to Antarctica (engine rumble through the heights and surrounds), Ospreys deploy with thunderous blade slap, facility echo, firefight, ice-wall bomb detonation, Ghidorah awakens with roars and lightning blasts, then Godzilla shows up for a battle with an aircraft missile barrage."
79,Pacific Rim,2013,pacific-rim,Hong Kong battle,pacific-rim--gypsy-vs-otachi,,3.296,2,2,"The Hong Kong battle: Gipsy Danger versus the kaiju Otachi, the fight tearing through the city with debris and impacts tracking across the surround and height channels."
80,A Quiet Place,2018,a-quiet-place,Raccoons above you,a-quiet-place--raccoons-on-roof,00:20:26,3.160,2,2,The scene with the trash pandas (raccoons) on the roof.
81,Rogue One: A Star Wars Story,2016,rogue-one-a-star-wars-story,Rocks falling after Death Star shot test,rogue-one-a-star-wars-story--escape-saw-hideout,00:45:00,3.160,2,2,"Escape from Saw's hideout, where Atmos makes it feel like the entire cave is crumbling around the listener."
82,The Lord of the Rings: The Fellowship of the Ring,2001,the-lord-of-the-rings-the-fellowship-of-the-ring,Balrog in Moria,the-lord-of-the-rings-the-fellowship-of-the-ring--mines-of-moria,01:53:38,3.140,2,2,"Caverns, slaughtered dwarves, orcs surrounding the Fellowship, arrows flying, the cave-troll fight, then the Balrog stomping in. A longtime demo favourite that works the sides, surrounds and subwoofer."
83,Toy Story 2,1999,toy-story-2,Opening Buzz Lightyear sequence,toy-story-2--buzz-lightyear-opening,00:00:45,3.140,2,2,"The opening Buzz Lightyear sequence (later revealed to be a video game): flying through space, a planet opening up, light tunnels, and a fight with Emperor Zurg and his Death Star-like power orb. Fun for the sides, surrounds and subwoofer."
84,The Rip,2025,the-rip-2025,Wall demolition upstairs,the-rip-2025--wall-demolition-upstairs,,3.063,2,2,Damon and Affleck talk to a girl in the room while the crew demolishes a wall one floor up; thuds land in the top channel.
85,Spider-Man: Into the Spider-Verse,2018,spider-man-into-the-spider-verse,Dimensional finale,spider-man-into-the-spider-verse--dimensional-finale,,3.030,2,2,"Glitch effects and dimensional rips bounce around in a kaleidoscope of motion; punches, web swings and energy bursts track across height channels."
86,A Haunting in Venice,2023,a-haunting-in-venice,The Basement,a-haunting-in-venice--the-basement,00:59:00,3.000,1,1,"Lead-up begins around the 59-minute mark with a child's singing only Poirot can hear; bassy thumps, disembodied voices, wild woodwinds and a raging storm."
87,Belfast,2021,belfast,Opening Scene,belfast--opening-scene,00:00:00,3.000,1,1,Sunny summer street of children and chatter morphs into the swirling low-toned chaos of a riot; rocks fly overhead as a bin lid becomes a shield.
88,Conclave,2024,conclave,The Vatican Explosion,conclave--the-vatican-explosion,,3.000,1,1,"A bomb hits the high-ceilinged Vatican mid-vote; tense strings cut out, debris falls and the building's collapse fills the room."
89,Dune: Part Two,2024,dune-part-two,Hunters Become the Hunted,dune-part-two--hunters-become-the-hunted,,3.000,1,1,"Harkonnen ambush: thrumming ornithopters and a missile barrage give way to silent sand cloud, then Fremen warriors and room-filling chanting."
90,Everything Everywhere All at Once,2022,everything-everywhere-all-at-once,The Epic Showdown,everything-everywhere-all-at-once--the-epic-showdown,,3.000,1,1,Evelyn's final showdown in the doughnut-shaped abyss: whooshing and swirling sweep around as dialogue threads through the chaos.
91,Frankenstein,2025,frankenstein-2025,An Icy Bloodbath,frankenstein-2025--an-icy-bloodbath,,3.000,1,1,"Sailors find a wounded Frankenstein on the tundra; sled dogs, fire crackle, whistling wind, then the Creature's deep growl and a bone-cracking rampage from all angles."
92,Gran Turismo,2023,gran-turismo,Le Mans,gran-turismo--le-mans,,3.000,1,1,"Climactic Le Mans race fills the room with crowd noise, a stunt jet fly-by and revving engines; strong dynamics and bass weight."
93,Indiana Jones and the Dial of Destiny,2023,indiana-jones-and-the-dial-of-destiny,The Caves,indiana-jones-and-the-dial-of-destiny--the-caves,,3.000,1,1,Cave chapter with underwater burbling effects and a brief gunfight where bullets whizz around and behind the listening position.
94,mother!,2017,mother-2017,The Final Third,mother-2017--the-final-third,,3.000,1,1,Latter third builds into sustained bedlam with every sound placed slightly elevated and tremendous low-end effects to test the subwoofer.
95,No Time to Die,2021,no-time-to-die,Chase Through Matera,no-time-to-die--chase-through-matera,,3.000,1,1,"Ambush at Vesper's tomb leaves Bond deafened; chase ends with rain of bullets on the Aston Martin panned across interior and exterior, interwoven with churchbells."
96,Nobody,2021,nobody,The Final Showdown,nobody--the-final-showdown,01:12:00,3.000,1,1,"Around the 72-minute mark: car chase to Pat Benatar's 'Heartbreaker' becomes an R-rated Home Alone in a warehouse, with flying bullets, shrapnel and explosions."
97,Nope,2022,nope,Ghost,nope--ghost,,3.000,1,1,"Quiet desert ambience, gravel crunch and uneasy snorts build to a bassy jump scare; voices echo across the landscape and the horse can no longer be seen."
98,Nosferatu,2024,nosferatu-2024,The Wolf Chase,nosferatu-2024--the-wolf-chase,,3.000,1,1,A pack of Count Orlok's wolves attacks; carriage rumble and snarling rise as the danger closes in.
99,Spider-Man: Across the Spider-Verse,2023,spider-man-across-the-spider-verse,Miles vs Spider-Man 2099,spider-man-across-the-spider-verse--miles-vs-spider-man-2099,,3.000,1,1,Miles flees Miguel O'Hara across the frame; energetic score and pinpoint placement track him vertically and around the soundfield.
100,The Mitchells vs. the Machines,2021,the-mitchells-vs-the-machines,Mall of the Globe,the-mitchells-vs-the-machines--mall-of-the-globe,,3.000,1,1,"Mall battle against possessed electronics: soda-can missiles, whizzing drones, raining Furbies and a Godzilla-Furby crescendo using zany height effects."
